,newsurl,newsrule
4,https://www.wired.com/review/samsung-galaxy-note-20-ultra/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
3,https://www.wired.com/story/a-radical-new-model-of-the-brain-illuminates-its-wiring/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
15,https://www.wired.com/story/an-algorithm-determined-uk-students-grades-chaos-ensued/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
19,https://www.wired.com/story/chinese-business-seminar-zhen-academy/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
0,https://www.wired.com/story/driverless-mass-transit-hits-speed-bumps/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
11,https://www.wired.com/story/election-voting-rights-spreadsheet-patriot/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
12,https://www.wired.com/story/furious-hunt-maga-mail-bomber/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
8,https://www.wired.com/story/honestly-just-vote-in-person-its-safer-than-you-think/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
1,https://www.wired.com/story/how-much-microplastic-is-swirling-in-the-atlantic/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
17,https://www.wired.com/story/immigrant-tech-workers-american-dream-canada/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
6,https://www.wired.com/story/in-a-touch-free-world-the-qr-code-is-having-its-moment/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
13,https://www.wired.com/story/kid-friendly-tablets-head-to-head/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
21,https://www.wired.com/story/microsofts-roots-china-positioned-buy-tiktok/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
2,https://www.wired.com/story/phone-spear-phishing-twitter-crime-wave/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
16,https://www.wired.com/story/plaintext-qanon-has-infiltrated-the-hollywood-rumor-mill/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
10,https://www.wired.com/story/she-helped-wreck-the-news-business-heres-her-plan-to-fix-it/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
5,https://www.wired.com/story/signal-tips-private-messaging-encryption/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
18,https://www.wired.com/story/six-word-sci-fi-upside-of-failure/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
7,https://www.wired.com/story/the-yoloers-vs-distancers-feud-is-tearing-us-apart/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
9,https://www.wired.com/story/this-cobalt-free-battery-is-good-for-the-planet-and-it-actually-works/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
14,https://www.wired.com/story/tired-of-gmail-try-a-privacy-first-email-provider/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
20,https://www.wired.com/story/why-do-solar-farms-kill-birds-call-in-the-ai-bird-watcher/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
