,newsurl,newsrule
3,https://www.revealnews.org/article/a-lot-of-us-feel-we-are-living-in-a-state-of-tyranny/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
7,https://www.revealnews.org/article/a-restaurant-is-a-living-breathing-part-of-the-community/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
14,https://www.revealnews.org/article/at-hundreds-of-rehabs-recovery-means-work-without-pay/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
8,https://www.revealnews.org/article/confederate-monuments-topple-in-richmond-virginia/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
6,https://www.revealnews.org/article/domestic-terror-in-the-age-of-trump/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
19,https://www.revealnews.org/article/epa-science-panel-plows-ahead-with-toxic-chemicals-review-despite-coronavirus-crisis/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
20,https://www.revealnews.org/article/epa-scientists-found-a-toxic-chemical-damages-fetal-hearts-the-trump-white-house-rewrote-their-assessment/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
22,https://www.revealnews.org/article/how-will-trumps-lax-emissions-standards-save-money-and-lives-by-assuming-americans-will-simply-drive-less/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
2,https://www.revealnews.org/article/i-have-to-be-out-there-theyre-killing-us/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
4,https://www.revealnews.org/article/i-was-forced-to-drive-across-the-country-during-a-pandemic-just-to-get-health-care/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
18,https://www.revealnews.org/article/new-york-bill-to-ban-toxic-solvent-tce-awaits-governors-signature/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
0,https://www.revealnews.org/article/we-have-always-been-able-to-say-goodbye-to-those-who-have-left-this-life/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
5,https://www.revealnews.org/article/were-building-luxury-bunkers/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
1,https://www.revealnews.org/article/were-not-treated-like-people-were-numbers/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
12,https://www.revealnews.org/episodes/american-rehab-chapter-4-cowboy-conman/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
11,https://www.revealnews.org/episodes/american-rehab-chapter-5-reagan-with-the-snap/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
9,https://www.revealnews.org/episodes/american-rehab-chapter-8-shadow-workforce/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
16,https://www.revealnews.org/episodes/american-rehab-chapter-one-a-desperate-call/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
10,https://www.revealnews.org/episodes/american-rehab-chapter-seven-the-work-cure/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
23,https://www.revealnews.org/episodes/american-rehab-chapter-six-the-white-vans/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
13,https://www.revealnews.org/episodes/american-rehab-chapter-three-a-venomous-snake/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
15,https://www.revealnews.org/episodes/american-rehab-chapter-two-miracle-on-the-beach/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
21,https://www.revealnews.org/episodes/losing-ground-rebroadcast-2/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
17,https://www.revealnews.org/topic/the-secrets-of-the-drought/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
